Kunden_ID;Branche;Monat;Verbrauch_kWh;Tarif_Cent_kWh;Netz_und_Einkauf_Cent_kWh;Kundenzufriedenheit_Score
445353;Metallverarbeitung;Februar;23264.0;28.67;22.2;1
860957;Logistik;Februar;53529.0;39.35;36.28;2
981167;Logistik;Februar;45174.0;34.8;29.76;1
543712;Bäckerei;Januar_FEHLER;70182.0;26.79;33.42;10
717841;Bäckerei;März;7140.0;43.09;29.95;2
205595;Logistik;Januar_FEHLER;29882.0;26.08;22.48;6
633660;Logistik;Januar_FEHLER;82176.0;36.62;26.06;8
399741;Metallverarbeitung;Februar;23329.0;29.78;37.62;6
904336;Supermarkt;März;75929.0;39.24;37.55;1
208445;Supermarkt;März;4372.0;44.17;25.37;7
378385;Hotel;März;11036.0;26.98;31.78;3
240296;Bäckerei;Februar;60400.0;38.23;30.71;9
895721;Hotel;Februar;60663.0;30.74;35.05;3
810912;Bäckerei;März;20823.0;42.73;24.83;6
852106;Bäckerei;Februar;54901.0;41.29;34.97;3
980680;Supermarkt;Januar_FEHLER;34482.0;43.62;24.27;7
345156;Metallverarbeitung;Januar_FEHLER;28611.0;41.36;22.08;5
203952;Supermarkt;Februar;72608.0;27.11;26.94;8
940036;Logistik;Februar;40854.0;35.16;22.38;4
280463;Bäckerei;Februar;10649.0;36.01;37.45;1
675883;Hotel;Januar_FEHLER;35220.0;44.95;24.63;1
922616;Logistik;Februar;;32.35;26.39;10
619531;Logistik;Januar_FEHLER;23925.0;26.55;29.1;4
631578;Metallverarbeitung;Februar;4434.0;34.56;30.46;7
525505;Logistik;Januar_FEHLER;84459.0;30.24;25.06;2
424808;Logistik;Januar_FEHLER;78525.0;43.58;32.12;10
845316;Logistik;März;68758.0;35.19;23.81;7
649838;Logistik;Februar;31164.0;36.17;35.15;5
703825;Supermarkt;Februar;15590.0;30.49;31.21;9
312659;Bäckerei;Februar;33281.0;28.13;34.91;7
570070;Supermarkt;Januar_FEHLER;48731.0;31.61;25.14;6
574565;Metallverarbeitung;März;70833.0;36.07;23.89;9
374445;Logistik;Januar_FEHLER;70214.0;39.17;33.78;2
500115;Bäckerei;März;24946.0;34.08;35.13;9
444473;Supermarkt;März;34663.0;32.24;29.88;6
805918;Bäckerei;Februar;80796.0;31.07;31.06;3
313645;Logistik;März;31423.0;38.48;23.35;3
792060;Metallverarbeitung;Januar_FEHLER;8872.0;35.01;23.89;3
363510;Logistik;März;56905.0;36.73;29.55;4
161214;Hotel;März;49771.0;43.67;31.3;3
885054;Bäckerei;Februar;80498.0;28.07;22.37;3
763641;Supermarkt;Februar;25819.0;33.39;23.73;3
856364;Metallverarbeitung;Februar;49159.0;26.24;28.74;4
861153;Bäckerei;Januar_FEHLER;21932.0;34.86;28.84;9
